administracija	vlada		DA (problem s podatki)
agresiven	napadalen		DA
agrum		citrus			DA*
aktiven		dejaven			DA (dejaven še ni končan)
aktualen	obstoječ		NE
aretirati	prijeti			DA
aristokracija	plemstvo	DA (problem členitve pri plemstvo?)
arktičen	polaren			DA
armada		množica			NE (napačen pomen)
atlas		titan			NE
avtoritaren	diktatorski		NE (napačen pomen)
avtoritaren	avtoritativen	DA
bajka		izmišljotina	NE
barbar		surovina		NE
besednjak	slovar			DA
besneti		napasti			NE
birokrat	uradnik			DA
blag		prijeten		NE*
blag		zmeren			DA*
blag		blagodejen		NE
blag		prijazen		NE
blago		zmerno			NE (napačna besedna vrsta za blago)
blagodejen	prijeten		NE (napačen pomen)
blagodejen	blažen			NE*
bogat		plodovit		NE
boks		boksanje		NE* (manjka prvi pomen pri boks)
bolan		nezdrav			DA
boleti		težiti			DA
boleč		razbolel		DA
bolečina	križ			DA
brat		prijatelj		NE
brezobziren	grob			NE (napačna besedna vrsta)
briljanten	imeniten		NE (napačen pomen)
živahen		miren			DA
akuten		kroničen		DA
živ			mrtev			DA
mrtev		živahen			DA
avtomatičen	ročen			DA
čist		umazan			NE*
hladen		naklonjen		DA-
debel		suh				NE
bogat		jalov			NE
navzočnost	odsotnost		NE
samica		samec			DA?
parazit		gostitelj		DA?
gostitelj	zajedalec		DA?
gostitelj	zajedavec		NE*
fizikalen	duševen			NE*
pozitiven	nevtralen		NE*
uspešen		neuspešen		NE*
sladek		kisel			DA
odpustiti	zaposliti		NE*
koristen	jalov			DA?
dobrota		zlo				NE (zgled za dobrota ni pravi)
gostota		distribucija	NE
dvig		upad			NE*
komedija	tragedija		NE?
ženska		moški			NE (moški kot pridevnik)
prijatelj	neznanec		NE
brat		sestra			DA?
otrok		starš			NE
deklica		deček			DA?
dekle		deček			NE*
dekle		fant			DA?
mož			žena			DA?
kralj		kraljica		NE
deček		punca			NE
stric		teta			DA?
stric		tetica			DA?
brezposelnost	zaposlitev	NE*
vzhod		zahod			DA
zahod		zarja			NE
miren		živ				NE
naklonjen	mrzel			NE
bivši		prihodnji		DA-
blokirati	izpustiti		NE
zapreti		izpustiti		DA
distribucija	koncentracija	DA
oče			mati			DA?
deklica		fant			DA?
punca		fant			DA (zgled pri fant napačen)
