lemma	iztočnica	besedna vrsta	številka pomena	indikator
oaza	oaza	samostalnik	1	območje v puščavi
oaza	oaza	samostalnik	2	ozelenel prostor
oaza	oaza	samostalnik	3	spokojen prostor; zatočišče;
računalništvo	računalništvo	samostalnik	1	veda
agrum	agrum	samostalnik	1	sadež
agrum	agrum	samostalnik	2	sadno drevo
macola	macola	samostalnik	1	težko kladivo
macola	macola	samostalnik	2	silovit ali neusmiljen način
malopridnež	malopridnež	samostalnik	1	kršitelj, storilec
malopridnež	malopridnež	samostalnik	2	ničvrednež, pokvarjenec
meander	meander	samostalnik	1	rečni zavoj
meander	meander	samostalnik	2	okrasni vzorec
meander	meander	samostalnik	3	stranska zgodba; zastranitev;
meander	meander	samostalnik	4	vijuga, lok
milenij	milenij	samostalnik	1	časovno obdobje
milenij	milenij	samostalnik	2	prelom tisočletja
milenij	milenij	samostalnik	3	obdobje vladanja Kristusa
multikulturnost	multikulturnost	samostalnik	1	o več kulturah
pašček	pašček	samostalnik	1	pripomoček za pritrjevanje
pašček	pašček	samostalnik	2	za okoli pasu
perutnička	perutnička	samostalnik	1	jed
perutnička	perutnička	samostalnik	2	del telesa
petdesetletnik	petdesetletnik	samostalnik	1	kdor je star 50
petdesetletnik	petdesetletnik	samostalnik	2	kdor je star med 50 in 59 let
pilotiranje	pilotiranje	samostalnik	1	upravljanje zračnih vozil in vesoljskih ladij
pilotiranje	pilotiranje	samostalnik	2	daljinsko upravljanje naprav, navadno modelov
pilotiranje	pilotiranje	samostalnik	3	upravljanje ladij s sidrišča v pristanišče in obratno
pilotiranje	pilotiranje	samostalnik	4	nameščanje pilotov
plavutek	plavutka	samostalnik	1	pripomoček za plavanje
plavutek	plavutka	samostalnik	2	majhna plavut, zlasti pri ribah
ranica	ranica	samostalnik	1	majhna rana
samohranilec	samohranilec	samostalnik	1	edini otrokov skrbnik
samoljubje	samoljubje	samostalnik	1	pretiran občutek lastne vrednosti
samoljubje	samoljubje	samostalnik	2	egocentričnost
pilotka	pilotka	samostalnik	1	ženska, ki je usposobljena za upravljanje zračnega plovila
balinček	balinček	samostalnik	1	športni rekvizit
četveroboj	četveroboj	samostalnik	1	tekmovanje
kadrovnik	kadrovnik	samostalnik	1	v podjetju ali športnem klubu
rak	rakov	pridevnik	1	o živali
rak	rakov	pridevnik	2	v kulinariki
rak	rakov	pridevnik	3	o bolezni
olesenel	olesenel	pridevnik	1	spremenjen v les
olesenel	olesenel	pridevnik	2	negiben, tog
olesenel	olesenel	pridevnik	3	zastal, otrpel
olesenel	olesenel	pridevnik	4	zaostal v razvoju ali okorel
zadirčnost	zadirčnost	samostalnik	1	o načinu izražanja
nadstrankarski	nadstrankarski	pridevnik	1	nevtralen
pobahata	pobahati	glagol	1	pohvaliti se, važiti se
nadrobiti	nadrobiti	glagol	1	zdrobiti
nadrobiti	nadrobiti	glagol	2	povedati
piarovka	piarovka	samostalnik	1	strokovnjakinja za odnose z javnostmi
poliglot	poliglot	samostalnik	1	kdor zna več jezikov
amortizer	amortizer	samostalnik	1	blažilnik
amortizer	amortizer	samostalnik	2	kar ublaži učinek nečesa
četverček	četverček	samostalnik	1	eden od štirih sorojencev
četverček	četverček	samostalnik	2	skupina štirih
četverček	četverček	samostalnik	3	o avtomobilu
četverček	četverček	samostalnik	4	stanovanjska zgradba
semiš	semiš	samostalnik	1	usnje
varčevanje	varčevanje	samostalnik	1	shranjevanje denarja
varčevanje	varčevanje	samostalnik	2	omejitev porabe, ekonomično ravnanje
razboleti	razbolel	pridevnik	1	o fizični bolečini
razboleti	razbolel	pridevnik	2	o duševni bolečini
amortizirati	amortizirati	glagol	1	o sili ali sunku
amortizirati	amortizirati	glagol	2	omiliti
amortizirati	amortizirati	glagol	3	odpisati vrednost
amortizirati	amortizirati	glagol	4	o povrnitvi vložka
deber	deber	samostalnik	1	soteska
psevdonim	psevdonim	samostalnik	1	izmišljeno ime
psevdonim	psevdonim	samostalnik	2	tipičen primer, sinonim
melišče	melišče	samostalnik	1	grušč
dražilec	dražilec	samostalnik	1	kdor sodeluje na dražbi
dražilec	dražilec	samostalnik	2	voditelj dražbe
dražilec	dražilec	samostalnik	3	snov
dražilec	dražilec	samostalnik	4	kar spodbudi reakcijo
burleska	burleska	samostalnik	1	komično delo
burleska	burleska	samostalnik	2	absurdna situacija, farsa
burleska	burleska	samostalnik	3	varietejska predstava, pogosto z vložki striptiza
burleska	burleska	samostalnik	4	vrsta skladbe
glavarina	glavarina	samostalnik	1	plačilo na osebo
bakrorez	bakrorez	samostalnik	1	grafična tehnika
bakrorez	bakrorez	samostalnik	2	izdelek
kantor	kantor	samostalnik	1	vodilni pevec pri bogoslužju
izmenoma	izmenoma	prislov	1	izmenično
čičimak	čičimak	samostalnik	1	drevo ali grm
čičimak	čičimak	samostalnik	2	plod
anekdota	anekdota	samostalnik	1	duhovita zgodba
pisati	pisalo	samostalnik	1	pripomoček za pisanje
čoln	čoln	samostalnik	1	manjše plovilo
čoln	čoln	samostalnik	2	tiskarski pripomoček
kapalka	kapalka	samostalnik	1	cevka za odmerjanje
pošiljatelj	pošiljatelj	samostalnik	1	kdor pošilja
naročilnica	naročilnica	samostalnik	1	dokument
brezvetrje	brezvetrje	samostalnik	1	odsotnost vetra
brezvetrje	brezvetrje	samostalnik	2	stanje neaktivnosti
obrtnik	obrtnik	samostalnik	1	kdor vodi obrt
preprodajalec	preprodajalec	samostalnik	1	kdor preprodaja
berljiv	berljiv	pridevnik	1	o zahtevnosti in prijetnosti
berljiv	berljiv	pridevnik	2	o vizualnosti, čitljivosti
berljiv	berljiv	pridevnik	3	o načinu branja podatkov
prekupčevalec	prekupčevalec	samostalnik	1	kdor prekupčuje
pravnomočnost	pravnomočnost	samostalnik	1	pravna veljavnost
književnik	književnik	samostalnik	1	pisatelj
