iztočnica|besedna vrsta|številka pomena|indikator
oaza|samostalnik|1|območje v puščavi
oaza|samostalnik|2|ozelenel prostor
oaza|samostalnik|3|spokojen prostor; zatočišče;
računalništvo|samostalnik|1|veda
agrum|samostalnik|1|sadež
agrum|samostalnik|2|sadno drevo
macola|samostalnik|1|težko kladivo
macola|samostalnik|2|silovit ali neusmiljen način
malopridnež|samostalnik|1|kršitelj, storilec
malopridnež|samostalnik|2|ničvrednež, pokvarjenec
meander|samostalnik|1|rečni zavoj
meander|samostalnik|2|okrasni vzorec
meander|samostalnik|3|stranska zgodba; zastranitev;
meander|samostalnik|4|vijuga, lok
milenij|samostalnik|1|časovno obdobje
milenij|samostalnik|2|prelom tisočletja
milenij|samostalnik|3|obdobje vladanja Kristusa
multikulturnost|samostalnik|1|o več kulturah
pašček|samostalnik|1|pripomoček za pritrjevanje
pašček|samostalnik|2|za okoli pasu
perutnička|samostalnik|1|jed
perutnička|samostalnik|2|del telesa
petdesetletnik|samostalnik|1|kdor je star 50
petdesetletnik|samostalnik|2|kdor je star med 50 in 59 let
pilotiranje|samostalnik|1|upravljanje zračnih vozil in vesoljskih ladij
pilotiranje|samostalnik|2|daljinsko upravljanje naprav, navadno modelov
pilotiranje|samostalnik|3|upravljanje ladij s sidrišča v pristanišče in obratno
pilotiranje|samostalnik|4|nameščanje pilotov
plavutka|samostalnik|1|pripomoček za plavanje
plavutka|samostalnik|2|majhna plavut, zlasti pri ribah
ranica|samostalnik|1|majhna rana
samohranilec|samostalnik|1|edini otrokov skrbnik
samoljubje|samostalnik|1|pretiran občutek lastne vrednosti
samoljubje|samostalnik|2|egocentričnost
pilotka|samostalnik|1|ženska, ki je usposobljena za upravljanje zračnega plovila
balinček|samostalnik|1|športni rekvizit
četveroboj|samostalnik|1|tekmovanje
kadrovnik|samostalnik|1|v podjetju ali športnem klubu
rakov|pridevnik|1|o živali
rakov|pridevnik|2|v kulinariki
rakov|pridevnik|3|o bolezni
olesenel|pridevnik|1|spremenjen v les
olesenel|pridevnik|2|negiben, tog
olesenel|pridevnik|3|zastal, otrpel
olesenel|pridevnik|4|zaostal v razvoju ali okorel
zadirčnost|samostalnik|1|o načinu izražanja
nadstrankarski|pridevnik|1|nevtralen
pobahati se|glagol|1|pohvaliti se, važiti se
nadrobiti|glagol|1|zdrobiti
nadrobiti|glagol|2|povedati
piarovka|samostalnik|1|strokovnjakinja za odnose z javnostmi
poliglot|samostalnik|1|kdor zna več jezikov
amortizer|samostalnik|1|blažilnik
amortizer|samostalnik|2|kar ublaži učinek nečesa
četverček|samostalnik|1|eden od štirih sorojencev
četverček|samostalnik|2|skupina štirih
četverček|samostalnik|3|o avtomobilu
četverček|samostalnik|4|stanovanjska zgradba
semiš|samostalnik|1|usnje
varčevanje|samostalnik|1|shranjevanje denarja
varčevanje|samostalnik|2|omejitev porabe, ekonomično ravnanje
razbolel|pridevnik|1|o fizični bolečini
razbolel|pridevnik|2|o duševni bolečini
amortizirati|glagol|1|o sili ali sunku
amortizirati|glagol|2|omiliti
amortizirati|glagol|3|odpisati vrednost
amortizirati|glagol|4|o povrnitvi vložka
deber|samostalnik|1|soteska
psevdonim|samostalnik|1|izmišljeno ime
psevdonim|samostalnik|2|tipičen primer, sinonim
melišče|samostalnik|1|grušč
dražilec|samostalnik|1|kdor sodeluje na dražbi
dražilec|samostalnik|2|voditelj dražbe
dražilec|samostalnik|3|snov
dražilec|samostalnik|4|kar spodbudi reakcijo
burleska|samostalnik|1|komično delo
burleska|samostalnik|2|absurdna situacija, farsa
burleska|samostalnik|3|varietejska predstava, pogosto z vložki striptiza
burleska|samostalnik|4|vrsta skladbe
glavarina|samostalnik|1|plačilo na osebo
bakrorez|samostalnik|1|grafična tehnika
bakrorez|samostalnik|2|izdelek
kantor|samostalnik|1|vodilni pevec pri bogoslužju
izmenoma|prislov|1|izmenično
čičimak|samostalnik|1|drevo ali grm
čičimak|samostalnik|2|plod
anekdota|samostalnik|1|duhovita zgodba
pisalo|samostalnik|1|pripomoček za pisanje
čoln|samostalnik|1|manjše plovilo
čoln|samostalnik|2|tiskarski pripomoček
kapalka|samostalnik|1|cevka za odmerjanje
pošiljatelj|samostalnik|1|kdor pošilja
naročilnica|samostalnik|1|dokument
brezvetrje|samostalnik|1|odsotnost vetra
brezvetrje|samostalnik|2|stanje neaktivnosti
obrtnik|samostalnik|1|kdor vodi obrt
preprodajalec|samostalnik|1|kdor preprodaja
berljiv|pridevnik|1|o zahtevnosti in prijetnosti
berljiv|pridevnik|2|o vizualnosti, čitljivosti
berljiv|pridevnik|3|o načinu branja podatkov
prekupčevalec|samostalnik|1|kdor prekupčuje
pravnomočnost|samostalnik|1|pravna veljavnost
književnik|samostalnik|1|pisatelj
grb|samostalnik|1|simbol
grb|samostalnik|2|kot nagrada ali priznanje
detergent|samostalnik|1|čistilno sredstvo
balinar|samostalnik|1|kdor balina
balinarka|samostalnik|1|ženska, ki balina
atletsko|prislov|1|o atletiki
atletsko|prislov|2|športno
gimnastično|prislov|1|o športu
gimnastično|prislov|2|gibalno, telesno
losjon|samostalnik|1|kozmetično sredstvo
driska|samostalnik|1|o bolezni
driska|samostalnik|2|tekoče blato
driska|samostalnik|3|žaljivka
driska|samostalnik|4|o situaciji ali dogajanju
hinavski|pridevnik|1|o človeku
hinavski|pridevnik|2|kar se zdi nenevarno
kolosej|samostalnik|1|zgradba
ravnik|samostalnik|1|ravno površje
ravnik|samostalnik|2|ekvator
priklon|samostalnik|1|o nagibu telesa
priklon|samostalnik|2|o pohvali
spužva|samostalnik|1|morski organizem
spužva|samostalnik|2|pripomoček za umivanje
spužva|samostalnik|3|o človeku
krinolina|samostalnik|1|oblačilo
krinolina|samostalnik|2|ogrodje pod krilom
livreja|samostalnik|1|uniforma
livreja|samostalnik|2|o dizajnu in barvah
toga|samostalnik|1|uradno oblačilo
toga|samostalnik|2|antično oblačilo
plastično|prislov|1|nazorno
plastično|prislov|2|o videzu
hlačke|samostalnik|1|žensko spodnje perilo
hlačke|samostalnik|2|kratke hlače
hlačke|samostalnik|3|otroško spodnje perilo
sečnica|samostalnik|1|del sečil
sečnica|samostalnik|2|premica
peča|samostalnik|1|tradicionalno žensko pokrivalo
peča|samostalnik|2|del trebušne mrene
presadek|samostalnik|1|pri presaditvi
kvadriceps|samostalnik|1|mišica
dimlje|samostalnik|1|del telesa
petelinček|samostalnik|1|manjši petelin
petelinček|samostalnik|2|predmet
petelinček|samostalnik|3|napihnjen človek
petelinček|samostalnik|4|metulj
petelinček|samostalnik|5|cvetlica
petelinček|samostalnik|6|športna igra
petelinček|samostalnik|7|o zavezovanju peče
petelinček|samostalnik|8|frizura
