structure_ID	structure_name	structure_example
12	gg-ggn	uspeti VIDETI
13	gg-d-s2	ODGOVORITI brez razmisleka
14	gg-d-s4	VNAŠATI v telo
15	gg-d-s5	očistiti po UPORABI
16	gg-d-s6	hoditi z BERGLAMI
17	gg-d-s3	RAVNATI proti vesti
18	gg-p1	pozirati GOL
19	gg-p4	pustiti SAMEGA
22	gg-s3	SPREGOVORITI ljudstvu
23	gg-s4	pogrniti MIZO
24	ggz-s2	ne hoteti ODGOVORA
25	l-gg-ggn	ne ZAČETI teči
26	p0-d-s2	izdelan iz BOMBAŽA
27	p0-d-s4	alergičen na SONCE
28	p0-d-s5	prepričan o USPEHU
29	p0-d-s6	IZVOLJEN z večino
30	p0-vp-p0	DOBER in/ali SLAB
31	p0-d-s3	nagnjen k ZLORABI
32	p0-vd-s0	LAČEN kot volk / utrujen kot PES
34	p0-s0	bela ZASTAVA
35	p0-s2	[biti] obtožen UTAJE
36	p0-s3	[biti] NAMENJEN vzgoji
37	p2-s2	[biti] DOBRE volje
38	r-d-s2	DANES do polnoči
39	r-d-s3	VČERAJ proti večeru
40	r-d-s5	VIDNO v zadregi
41	r-d-s4	MALO za šalo
42	r-d-s6	JUTRI pred odhodom
43	r-gg	čvrsto STISNITI
44	r-vp-r	VČERAJ in/ali DANES
45	r-vd-s0	TIHO kot miš / mrzlo kot VRAG
46	r-p0	dovolj ZREL
47	r-s2	malo MOŽNOSTI
48	s0-d-s2	dan brez AVTOMOBILA
49	s0-d-s3	DOPOLNILO k zahvali 
50	s0-d-s6	IZBOR med kandidati
51	s0-d-s4	OBESEK za ključ
52	s0-d-s5	OTOK ob obali
53	s0-s2	PRANJE denarja
54	s0-s3	PISMO predsedniku
55	r-r	zares IZJEMNO / ENAKO besno
57	s1-gp-p1	hruška je ZRELA
68	gg-zp-s3	izneveriti se tradiciji
69	gg-zp-s4	ogledati si posnetek
70	s1-gg	PANIKA zavlada
71	s1-zp-gg	človek se USTRAŠI
72	s1-l-gg	ČLOVEK ne vidi 
73	s1-zp-l-gg	vernik se ne BRIJE 
74	l-gg-s2	ne prepuščati ZRAKA
75	l-gg-zp-s2	ne ZVITI si noge
76	s0-s0	angina PECTORIS
77	s0-gp-s1	STRIC je partizan
78	gg-zp-p1	zdeti se premagan
80	gg-zp-p4	počutiti se osamljenega
81	r-zp-gg	močno se prestrašiti
82	gg-vd-s0	BRUHATI kot vidra
83	gg-zp-vd-s0	pojavljati se kot mora
84	s0-vd-s0	ZDRAVJE kot vrednota / vrednost kot OSNOVA
85	r-p1	[biti] objavljen včeraj
86	gg-zp-d-s2	pripeljati se do banke
87	gg-zp-d-s3	odločiti se kljub nasprotovanju
88	gg-zp-d-s4	voziti se v službo
89	gg-zp-d-s5	kopati se v morju
90	gg-zp-d-s6	pripeljati se z mopedom
91	s0-d-r	prijatelj za VEDNO
92	gg-zp-ggn	prizadevati si poiskati
93	gg-ggn-zp	utegniti zaplesti se
94	gg-zp-ggn-zp	odločiti se prodati se
95	l-gg-zp-ggn	ne dati se predvideti
96	l-gg-ggn-zp	ne uspeti udeležiti se
97	l-gg-zp-ggn-zp	ne bati se pokazati se
98	r-ggn	[biti] bolje PRESEKATI
99	r-ggn-zp	[biti] bolje smejati se
100	p1-ggn	[biti] prisiljen ZAPRETI
101	p1-ggn-zp	[biti] pripravljen zadolžiti se
102	s1-ggn	pravica POČETI 
103	s1-ggn-zp	pravica odločati se
104	gg-ggm	iti PLAVAT
105	gg-ggm-zp	iti ogledat si
106	s0-vp-s0	VINO in/ali PIVO
107	gg-vp-gg	GOVORITI in/ali ŠEPETATI
108	gg-zp-s2	BATI se maščevanja
