Št.	Beseda 1	Beseda 2	Ali sta besedi protipomenki? [MŠ1]	Ali sta besedi protipomenki? [MJ]	Ali sta besedi protipomenki? [MŠ2]	Ali sta besedi sopomenki? [MS]	Ali sta besedi protipomenki? [TM]	Ali sta besedi protipomenki? [TVK]	SKUPAJ	ENOTNOST	Glavni problem	Morebitni dodatni problem	
1	abnormalen	običajen	d	d	d	d	d	d	dddddd	je protipomenka			
2	abolirati	uvajati	d	d	g	g	g	d	ddgggd		prevzeto		
3	abolirati	uvesti	d	d	d	g	d	d	dddgdd		prevzeto		
4	abolirati	vzpostaviti	d	d	d	g	d	d	dddgdd		prevzeto		
5	absoluten	relativen	d	d	d	d	d	d	dddddd	je protipomenka	/		
6	abstrakten	konkreten	d	d	d	d	d	d	dddddd	je protipomenka			
7	aktiv	pasiv	d	d	d	d	d	d	dddddd	je protipomenka			
8	aktiv	trpnik	g	d	d	g	d	d	gddgdd		prevzeto		
9	aktiven	pasiven	d	d	d	d	d	d	dddddd	je protipomenka			
10	aktivnost	neaktivnost	d	d	d	d	d	d	dddddd	je protipomenka			
11	aktivnost	inercija	g	d	n	d	g	d	gdndgd				
12	aktivnost	nedelavnost	n	g	g	d	d	d	nggddd		ne	kontekst	
13	aktivnost	nedejavnost	d	d	d	g	d	d	dddgdd		ne	kontekst	
14	aktivnost	mirovanje	d	d	d	d	d	d	dddddd	je protipomenka			
15	akuten	kroničen	d	d	d	d	d	d	dddddd	je protipomenka			
16	aliansa	neuvrščenost	g	n	n	n	g	d	gnnngd		konktekst		
17	alkoholen	brezalkoholen	d	d	d	d	d	d	dddddd	je protipomenka			
18	alkoholne	brezalkoholne	d	d	d	g	d	d	dddgdd		lema		
19	altruističen	egocentričen	g	d	d	d	g	d	gdddgd		/		
20	altruističen	egoističen	d	d	d	d	d	d	dddddd	je protipomenka			
21	altruističen	koristoljuben	d	g	d	g	n	d	dgdgnd		kontekst	prevzeto	
22	altruističen	samoljuben	n	g	n	d	g	d	ngndgd		kontekst	prevzeto	
23	altruističen	samopašen	g	g	n	g	g	d	ggnggd		kontekst	prevzeto	
24	altruističen	sebičen	d	d	d	d	d	d	dddddd	je protipomenka			
25	altruizem	egoizem	d	d	d	d	d	d	dddddd	je protipomenka			
26	altruizem	koristoljubje	d	g	d	g	g	d	dgdggd		kontekst	prevzeto	
27	altruizem	koristoljubnost	d	g	d	g	n	d	dgdgnd		kontekst	prevzeto	
28	altruizem	preračunljivost	n	g	n	n	n	d	ngnnnd		kontekst	prevzeto	
29	altruizem	samoljubje	g	g	n	n	g	d	ggnngd		tranz	prevzeto	
30	altruizem	sebičnost	d	d	g	d	d	d	ddgddd		prevzeto		
31	ambiciozen	preprost	d	n	n	n	n	n	dnnnnn		kontekst		
32	ambiciozen	skromen	d	g	n	d	g	g	dgndgg		kontekst		
33	anabolizem	katabolizem	d	d	d	d	g	d	ddddgd		kvazi		
34	analitičen	sintetičen	d	d	g	d	n	d	ddgdnd		večpom		
35	anoda	anoda	n	n	n	g	n	n	nnngnn		/		
36	anoda	katoda	d	d	d	d	g	d	ddddgd		kvazi		
37	anticiklon	ciklon	d	d	d	d	d	d	dddddd	je protipomenka			
38	antonim	sinonim	d	d	d	d	d	d	dddddd	je protipomenka			
39	antonim	sopomenka	g	d	d	g	d	d	gddgdd		prevzeto		
40	antonim	soznačnica	n	n	g	g	g	d	nngggd		zaz	prevzeto	
41	anulirati	potrditi	d	g	g	g	d	d	dgggdd		zaz	prevzeto	
42	aperioden	periodičen	d	d	d	d	d	d	dddddd	je protipomenka	neujemajoče končnice?		
43	aposterioren	aprioren	d	d	g	g	g	d	ddgggd		zaz		
44	aromatičen	smrdljiv	d	g	n	g	g	d	dgnggd		prevzeto		
45	aromatičen	usmrajen	n	g	n	g	g	d	ngnggd		prevzeto		
46	aseksualen	spolen	n	d	d	g	d	d	nddgdd		prevzeto	kontekst	
47	asimetričen	someren	d	d	g	g	g	d	ddgggd		prevzeto		
48	asimetričen	sorazmeren	d	d	g	n	g	d	ddgngd		prevzeto		
49	ata	mama	d	n	d	g	g	d	dndggd		spol		
50	ata	mati	n	n	g	g	g	d	nngggd		spol		
51	ati	mati	d	n	g	g	g	d	dngggd		spol		
52	atonija	tonus	g	g	d	d	g	d	ggddgd		kontekst		
53	avtomatičen	ročen	d	d	d	d	d	d	dddddd	je protipomenka			
54	barvast	črno-bel	d	d	d	d	d	d	dddddd	je protipomenka			
55	barvast	črnobel	d	d	d	g	g	n	dddggn		lema	kontekst	
56	barven	črno-bel	d	d	d	d	d	d	dddddd	je protipomenka			
57	barven	črnobel	d	d	d	g	g	n	dddggn		lema	kontekst	
58	bati	upati	d	d	n	n	g	g	ddnngg		povratnost		
59	bedenje	spanje	d	d	d	d	d	d	dddddd	je protipomenka			
60	bedeti	spati	d	d	d	d	d	d	dddddd	je protipomenka			
61	beliti	počrniti	d	d	d	g	g	d	dddggd		nedov		
62	benigen	maligen	d	d	d	d	g	d	ddddgd		/		
63	besedno	nebesedno	d	d	d	d	d	d	dddddd	je protipomenka			
64	bistroglavost	neumnost	d	d	d	d	d	d	dddddd	je protipomenka			
65	bistroglavost	norost	d	d	d	n	n	d	dddnnd		kontekst		
66	bistrost	motnost	d	d	d	d	g	d	ddddgd		večpom		
67	bistven	nebistven	d	d	d	d	d	d	dddddd	je protipomenka			
68	biti	premikati	g	n	n	n	n	n	gnnnnn		/		
69	bivši	sedanji	d	d	g	g	g	d	ddgggd		stop		
70	bivši	dejanski	n	n	n	g	n	n	nnngnn		tranz	kontekst	
71	bivši	prihodnji	g	n	d	g	d	d	gndgdd		kontekst		
72	bivši	pretekel	n	n	n	n	n	n	nnnnnn	ni protipomenka			
73	blag	hud	d	d	d	d	d	d	dddddd	je protipomenka			
74	blag	močen	d	d	d	d	g	d	ddddgd		večpom		
75	blagoroden	infamen	g	n	n	g	g	d	gnnggd		prevzeto	kontekst	
76	blagoroden	zloglasen	g	n	n	n	g	d	gnnngd		kontekst		
77	blagoslavljati	preklinjati	n	g	g	d	d	d	nggddd		kontekst		
78	bližati	oddaljiti	d	g	d	g	d	d	dgdgdd		nedov		
79	bližnji	daljen	d	d	d	g	d	d	dddgdd		nedol		
80	blizu	daleč	d	d	d	d	d	d	dddddd	je protipomenka			
81	blokirati	izpustiti	d	d	g	g	g	g	ddgggg		kontekst	prevzeto	
82	blokirati	osvoboditi	d	d	d	g	g	d	dddggd		kontekst	prevzeto	
83	bodočnost	preteklost	d	d	d	d	d	d	dddddd	je protipomenka			
84	bogat	brezploden	d	n	n	n	g	g	dnnngg		kontekst		
85	bogat	jalov	d	n	n	g	g	d	dnnggd		kontekst		
86	bogat	neploden	d	n	n	g	g	g	dnnggg		kontekst		
87	bogat	sterilen	n	n	n	g	n	g	nnngng		kontekst	prevzeto	
88	bogat	reven	d	d	d	d	d	d	dddddd	je protipomenka			
89	bogat	ubog	d	d	d	d	d	d	dddddd	je protipomenka			
90	bogat	skop	n	n	n	n	g	d	nnnngd		kontekst		
91	bogat	zadosten	n	n	n	g	n	g	nnngng		kontekst	stop	
92	bojazen	hrabrost	d	g	g	g	d	d	dgggdd		kontekst		
93	bojazen	neustrašnost	d	g	g	g	d	d	dgggdd		kontekst		
94	bojazljiv	hraber	d	d	d	d	d	d	dddddd	je protipomenka			
95	bojazljiv	korajžen	d	d	d	d	d	d	dddddd	je protipomenka	zaz?		
96	bojazljiv	možat	n	n	n	g	g	n	nnnggn		kontekst		
97	bojazljiv	pogumen	d	d	d	d	d	d	dddddd	je protipomenka			
98	bojazljiv	srčen	n	n	n	d	g	d	nnndgd		kontekst		
99	bojazljivost	hrabrost	d	d	d	d	d	d	dddddd	je protipomenka			
100	bojazljivost	korajža	d	d	d	d	d	d	dddddd	je protipomenka			
101	bojazljivost	pogum	d	d	d	d	d	d	dddddd	je protipomenka			
102	bojazljivost	smelost	g	n	d	d	g	d	gnddgd		kontekst	zaz	
103	boječnost	pogum	d	d	d	d	d	d	dddddd	je protipomenka			
104	boječnost	trdnost	d	n	n	g	g	g	dnnggg		večpom	kontekst	
105	bol	zadovoljstvo	d	d	n	g	g	g	ddnggg		kontekst		
106	boleče	neboleče	d	d	d	d	d	d	dddddd	je protipomenka			
107	boljšati	nazadovati	d	n	d	g	g	d	dndggd		povrat	drugo	
108	boljšati	poslabšati	d	d	g	g	d	d	ddggdd		nedov	povrat	
109	boriti	odstopiti	d	g	n	n	g	g	dgnngg		nedov	povrat	
110	boriti	predati	d	g	g	d	d	g	dggddg		nedov	povrat	
